year,week,cases
2012,1,74
2012,2,66
2012,3,61
2012,4,52
2012,5,85
2012,6,87
2012,7,65
2012,8,51
2012,9,55
2012,10,46
2012,11,64
2012,12,73
2012,13,48
2012,14,52
2012,15,82
2012,16,77
2012,17,64
2012,18,88
2012,19,97
2012,20,80
2012,21,80
2012,22,81
2012,23,100
2012,24,88
2012,25,129
2012,26,151
2012,27,140
2012,28,132
2012,29,125
2012,30,110
2012,31,94
2012,32,127
2012,33,115
2012,34,92
2012,35,102
2012,36,76
2012,37,74
2012,38,72
2012,39,100
2012,40,104
2012,41,123
2012,42,105
2012,43,84
2012,44,104
2012,45,100
2012,46,88
2012,47,100
2012,48,80
2012,49,78
2012,50,105
2012,51,94
2012,52,112
2013,1,134
2013,2,205
2013,3,219
2013,4,267
2013,5,293
2013,6,322
2013,7,247
2013,8,296
2013,9,249
2013,10,273
2013,11,308
2013,12,307
2013,13,316
2013,14,406
2013,15,492
2013,16,509
2013,17,538
2013,18,547
2013,19,558
2013,20,611
2013,21,640
2013,22,746
2013,23,814
2013,24,809
2013,25,842
2013,26,806
2013,27,678
2013,28,541
2013,29,390
2013,30,306
2013,31,289
2013,32,256
2013,33,378
2013,34,341
2013,35,386
2013,36,452
2013,37,339
2013,38,376
2013,39,406
2013,40,441
2013,41,438
2013,42,374
2013,43,495
2013,44,458
2013,45,402
2013,46,444
2013,47,365
2013,48,372
2013,49,347
2013,50,381
2013,51,371
2013,52,414
2014,1,437
2014,2,479
2014,3,401
2014,4,336
2014,5,234
2014,6,274
2014,7,369
2014,8,194
2014,9,187
2014,10,210
2014,11,225
2014,12,210
2014,13,225
2014,14,240
2014,15,245
2014,16,235
2014,17,282
2014,18,251
2014,19,261
2014,20,291
2014,21,428
2014,22,456
2014,23,459
2014,24,506
2014,25,551
2014,26,671
2014,27,891
2014,28,819
2014,29,746
2014,30,634
2014,31,484
2014,32,545
2014,33,438
2014,34,418
2014,35,367
2014,36,339
2014,37,362
2014,38,397
2014,39,345
2014,40,339
2014,41,278
2014,42,297
2014,43,213
2014,44,186
2014,45,169
2014,46,158
2014,47,149
2014,48,162
2014,49,212
2014,50,177
2014,51,198
2014,52,188
2014,53,158
2015,1,257
2015,2,228
2015,3,237
2015,4,259
2015,5,212
2015,6,173
2015,7,100
2015,8,172
2015,9,190
2015,10,110
2015,11,91
2015,12,130
2015,13,91
2015,14,107
2015,15,137
2015,16,113
2015,17,120
2015,18,135
2015,19,158
2015,20,109
2015,21,180
2015,22,152
2015,23,193
2015,24,207
