year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2022,1,0,11,0,87,30,54,26,66,39
2022,2,21,12,58,34,19,59,86,67,40
2022,3,11,16,0,43,19,64,75,70,58
2022,4,0,16,19,32,45,66,55,80,46
2022,5,0,13,44,53,56,64,76,76,44
2022,6,19,15,36,68,24,75,61,87,57
2022,7,0,11,11,51,23,84,56,67,48
2022,8,14,14,35,57,0,88,64,69,39
2022,9,40,18,41,75,21,84,63,53,51
2022,10,13,19,46,70,45,70,43,69,51
2022,11,19,21,20,53,0,65,64,60,65
2022,12,25,24,26,47,0,52,82,52,60
2022,13,9,27,28,54,36,46,72,59,52
2022,14,23,25,29,57,48,51,67,70,51
2022,15,34,41,41,59,77,45,58,82,83
2022,16,38,57,40,67,49,48,64,64,76
2022,17,58,75,49,58,61,52,53,79,100
2022,18,52,62,45,49,57,52,47,74,76
2022,19,53,70,11,49,64,58,50,64,80
2022,20,54,100,23,58,53,71,54,75,91
2022,21,59,81,30,44,30,65,78,78,68
2022,22,71,80,51,59,41,71,72,100,74
2022,23,92,92,67,72,17,63,57,68,60
2022,24,59,88,100,55,50,75,69,59,81
2022,25,73,87,43,68,33,81,63,75,61
2022,26,100,87,42,52,75,100,81,64,85
2022,27,37,83,52,49,50,86,70,78,77
2022,28,61,73,42,44,100,95,100,84,59
2022,29,63,72,21,57,0,92,97,91,60
2022,30,49,68,33,67,38,92,66,82,58
2022,31,45,62,0,60,44,77,72,68,67
2022,32,44,49,44,48,38,73,100,80,66
2022,33,54,52,46,63,43,64,67,67,67
2022,34,30,46,53,74,0,65,62,61,49
2022,35,58,50,36,62,16,64,57,63,67
2022,36,48,42,0,58,52,67,52,67,68
2022,37,23,41,53,57,51,70,71,71,68
2022,38,25,38,17,68,26,69,63,67,50
2022,39,41,38,82,64,0,70,93,64,55
2022,40,17,27,42,100,52,74,49,63,78
2022,41,51,43,10,56,37,93,59,76,63
2022,42,38,34,32,65,0,90,41,64,59
2022,43,23,37,43,74,49,66,93,72,61
2022,44,20,27,42,66,20,60,52,61,53
2022,45,28,26,42,85,45,62,64,63,51
2022,46,20,24,48,72,0,60,49,62,49
2022,47,23,29,11,47,43,58,46,65,55
2022,48,22,20,46,71,17,52,38,66,39
2022,49,37,27,55,61,49,52,40,66,42
2022,50,21,28,20,72,52,68,37,57,57
2022,51,20,20,39,69,24,69,64,66,48
2022,52,23,26,23,56,0,64,55,74,51
2021,1,53,84,54,90,0,53,49,65,58
2021,2,100,72,83,95,23,46,49,71,56
2021,3,50,63,30,53,49,47,63,62,57
2021,4,47,78,46,42,29,52,60,93,72
2021,5,0,55,37,31,23,42,57,77,52
2021,6,46,96,71,46,54,58,77,68,68
2021,7,82,100,16,36,25,61,71,100,53
2021,8,43,86,53,39,0,59,46,84,66
2021,9,64,85,0,35,35,52,72,80,87
2021,10,41,88,28,49,78,54,72,87,90
2021,11,0,67,61,58,0,54,63,66,62
2021,12,61,73,0,68,0,60,42,84,59
2021,13,0,61,42,68,0,62,70,66,72
2021,14,61,60,57,69,46,57,45,79,70
2021,15,31,76,68,80,100,62,76,92,76
2021,16,0,67,59,67,49,74,71,94,94
2021,17,44,94,52,58,39,67,58,83,92
2021,18,0,53,71,60,28,78,64,87,100
2021,19,63,52,61,60,54,81,58,94,61
2021,20,0,67,38,50,30,71,79,84,87
2021,21,91,97,34,44,36,77,100,100,84
2021,22,58,85,33,46,0,65,75,87,94
2021,23,0,79,0,53,62,62,78,87,80
2021,24,0,77,34,66,21,68,57,66,89
2021,25,0,60,51,64,31,61,65,81,73
2021,26,98,84,51,66,31,64,90,69,80
2021,27,52,77,60,72,20,80,64,81,61
2021,28,66,94,59,83,35,87,66,89,79
2021,29,75,99,83,49,43,99,96,87,73
2021,30,0,46,61,42,0,85,91,95,66
2021,31,67,84,65,56,0,100,94,78,50
2021,32,45,68,68,49,38,66,91,79,68
2021,33,25,58,57,80,0,58,57,78,56
2021,34,31,72,31,79,56,46,56,72,51
2021,35,0,51,92,100,72,52,43,59,76
2021,36,70,62,46,55,29,59,77,87,58
2021,37,40,77,37,49,33,63,71,60,60
2021,38,53,64,89,50,0,64,85,83,52
2021,39,31,73,47,73,34,51,63,56,56
2021,40,33,74,20,43,29,65,75,83,62
2021,41,98,77,71,50,46,59,74,80,62
2021,42,72,88,52,58,67,62,41,72,75
2021,43,0,79,78,44,0,61,73,67,29
2021,44,48,69,100,75,53,55,45,68,52
2021,45,0,62,62,70,32,67,62,73,40
