date,dengue,dengue fever,bone pain,rain,mosquito bite,fever,rashes,rash,mosquito
2022-01-02,11,0,0,87,30,54,26,66,39
2022-01-09,12,21,58,34,19,59,86,67,40
2022-01-16,16,11,0,43,19,64,75,70,58
2022-01-23,16,0,19,32,45,66,55,80,46
2022-01-30,13,0,44,53,56,64,76,76,44
2022-02-06,15,19,36,68,24,75,61,87,57
2022-02-13,11,0,11,51,23,84,56,67,48
2022-02-20,14,14,35,57,0,88,64,69,39
2022-02-27,18,40,41,75,21,84,63,53,51
2022-03-06,19,13,46,70,45,70,43,69,51
2022-03-13,21,19,20,53,0,65,64,60,65
2022-03-20,24,25,26,47,0,52,82,52,60
2022-03-27,27,9,28,54,36,46,72,59,52
2022-04-03,25,23,29,57,48,51,67,70,51
2022-04-10,41,34,41,59,77,45,58,82,83
2022-04-17,57,38,40,67,49,48,64,64,76
2022-04-24,75,58,49,58,61,52,53,79,100
2022-05-01,62,52,45,49,57,52,47,74,76
2022-05-08,70,53,11,49,64,58,50,64,80
2022-05-15,100,54,23,58,53,71,54,75,91
2022-05-22,81,59,30,44,30,65,78,78,68
2022-05-29,80,71,51,59,41,71,72,100,74
2022-06-05,92,92,67,72,17,63,57,68,60
2022-06-12,88,59,100,55,50,75,69,59,81
2022-06-19,87,73,43,68,33,81,63,75,61
2022-06-26,87,100,42,52,75,100,81,64,85
2022-07-03,83,37,52,49,50,86,70,78,77
2022-07-10,73,61,42,44,100,95,100,84,59
2022-07-17,72,63,21,57,0,92,97,91,60
2022-07-24,68,49,33,67,38,92,66,82,58
2022-07-31,62,45,0,60,44,77,72,68,67
2022-08-07,49,44,44,48,38,73,100,80,66
2022-08-14,52,54,46,63,43,64,67,67,67
2022-08-21,46,30,53,74,0,65,62,61,49
2022-08-28,50,58,36,62,16,64,57,63,67
2022-09-04,42,48,0,58,52,67,52,67,68
2022-09-11,41,23,53,57,51,70,71,71,68
2022-09-18,38,25,17,68,26,69,63,67,50
2022-09-25,38,41,82,64,0,70,93,64,55
2022-10-02,27,17,42,100,52,74,49,63,78
2022-10-09,43,51,10,56,37,93,59,76,63
2022-10-16,34,38,32,65,0,90,41,64,59
2022-10-23,37,23,43,74,49,66,93,72,61
2022-10-30,27,20,42,66,20,60,52,61,53
2022-11-06,26,28,42,85,45,62,64,63,51
2022-11-13,24,20,48,72,0,60,49,62,49
2022-11-20,29,23,11,47,43,58,46,65,55
2022-11-27,20,22,46,71,17,52,38,66,39
2022-12-04,27,37,55,61,49,52,40,66,42
2022-12-11,28,21,20,72,52,68,37,57,57
2022-12-18,20,20,39,69,24,69,64,66,48
2022-12-25,26,23,23,56,0,64,55,74,51
2021-01-03,84,53,54,90,0,53,49,65,58
2021-01-10,72,100,83,95,23,46,49,71,56
2021-01-17,63,50,30,53,49,47,63,62,57
2021-01-24,78,47,46,42,29,52,60,93,72
2021-01-31,55,0,37,31,23,42,57,77,52
2021-02-07,96,46,71,46,54,58,77,68,68
2021-02-14,100,82,16,36,25,61,71,100,53
2021-02-21,86,43,53,39,0,59,46,84,66
2021-02-28,85,64,0,35,35,52,72,80,87
2021-03-07,88,41,28,49,78,54,72,87,90
2021-03-14,67,0,61,58,0,54,63,66,62
2021-03-21,73,61,0,68,0,60,42,84,59
2021-03-28,61,0,42,68,0,62,70,66,72
2021-04-04,60,61,57,69,46,57,45,79,70
2021-04-11,76,31,68,80,100,62,76,92,76
2021-04-18,67,0,59,67,49,74,71,94,94
2021-04-25,94,44,52,58,39,67,58,83,92
2021-05-02,53,0,71,60,28,78,64,87,100
