latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
1.4000015,104.100006,8.0,28800,Asia/Singapore,+08

time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2012-01-01,53,31.0,24.4,27.1,38.7,29.3,32.7,2012-01-01T07:04,2012-01-01T19:09,20.33,1.90,1.90,7.0,10.4,23.0,30,4.08
2012-01-02,51,29.2,24.9,26.8,35.3,29.3,31.5,2012-01-02T07:05,2012-01-02T19:10,20.20,0.70,0.70,4.0,16.6,32.0,23,3.87
2012-01-03,51,29.4,25.2,27.0,34.7,29.4,31.3,2012-01-03T07:05,2012-01-03T19:10,19.81,0.50,0.50,2.0,19.2,34.6,27,3.98
2012-01-04,51,29.6,24.9,26.9,33.6,28.5,30.6,2012-01-04T07:06,2012-01-04T19:11,20.19,0.10,0.10,1.0,20.4,36.7,24,4.26
2012-01-05,51,29.2,24.7,26.6,34.6,28.1,30.3,2012-01-05T07:06,2012-01-05T19:11,19.09,0.60,0.60,2.0,20.0,37.4,18,3.91
2012-01-06,2,29.6,24.5,26.8,33.1,27.8,30.0,2012-01-06T07:07,2012-01-06T19:12,19.19,0.00,0.00,0.0,23.1,41.8,6,4.19
2012-01-07,61,28.7,24.5,26.3,33.0,27.4,29.6,2012-01-07T07:07,2012-01-07T19:12,17.47,5.10,5.10,9.0,22.1,43.6,7,3.59
2012-01-08,61,27.7,24.1,25.4,31.1,26.9,28.7,2012-01-08T07:07,2012-01-08T19:12,14.18,13.60,13.60,20.0,20.2,42.5,352,2.86
2012-01-09,61,27.4,24.3,25.4,30.1,26.8,28.2,2012-01-09T07:08,2012-01-09T19:13,8.95,7.10,7.10,18.0,22.3,43.6,356,2.25
2012-01-10,61,26.1,24.1,25.1,30.3,27.5,28.7,2012-01-10T07:08,2012-01-10T19:13,7.12,9.20,9.20,20.0,18.0,33.5,342,1.61
2012-01-11,61,28.3,24.4,25.8,31.4,28.1,29.4,2012-01-11T07:09,2012-01-11T19:14,9.70,4.40,4.40,14.0,23.0,40.3,354,2.17
2012-01-12,53,27.7,24.5,25.7,32.0,28.2,29.6,2012-01-12T07:09,2012-01-12T19:14,11.08,2.10,2.10,6.0,20.6,41.8,334,2.30
2012-01-13,63,29.3,23.7,25.7,34.4,27.5,29.8,2012-01-13T07:09,2012-01-13T19:15,16.71,5.30,5.30,6.0,18.3,35.6,330,3.31
2012-01-14,53,29.6,23.8,26.4,37.2,28.0,31.5,2012-01-14T07:10,2012-01-14T19:15,19.17,1.10,1.10,5.0,11.3,29.2,320,3.86
2012-01-15,51,30.7,24.6,27.3,38.4,29.1,33.0,2012-01-15T07:10,2012-01-15T19:15,21.20,0.40,0.40,3.0,8.7,30.6,319,4.30
2012-01-16,51,31.1,24.8,27.6,39.2,30.2,33.8,2012-01-16T07:10,2012-01-16T19:16,20.89,0.10,0.10,1.0,7.9,24.1,56,4.32
2012-01-17,61,30.8,25.5,27.2,38.2,30.8,33.0,2012-01-17T07:11,2012-01-17T19:16,18.72,5.10,5.10,8.0,8.0,27.0,35,3.84
2012-01-18,61,29.4,24.4,26.5,36.7,29.5,32.0,2012-01-18T07:11,2012-01-18T19:16,17.89,4.90,4.90,8.0,8.7,27.0,21,3.62
2012-01-19,63,29.0,24.7,26.8,35.8,29.7,32.2,2012-01-19T07:11,2012-01-19T19:17,18.42,6.80,6.80,7.0,9.8,20.2,63,3.68
2012-01-20,61,27.8,24.8,26.1,33.6,29.4,31.1,2012-01-20T07:12,2012-01-20T19:17,16.06,9.10,9.10,11.0,13.1,22.3,21,3.08
2012-01-21,63,29.5,24.1,26.3,37.0,28.5,31.5,2012-01-21T07:12,2012-01-21T19:17,17.76,12.10,12.10,9.0,9.3,24.1,353,3.56
2012-01-22,63,30.3,24.1,26.5,37.6,28.5,31.6,2012-01-22T07:12,2012-01-22T19:18,21.60,5.40,5.40,9.0,11.5,26.3,331,4.30
2012-01-23,65,29.7,24.3,26.1,36.3,28.3,30.9,2012-01-23T07:12,2012-01-23T19:18,18.36,25.10,25.10,7.0,13.3,33.1,338,3.57
2012-01-24,3,29.5,24.1,26.2,33.5,27.5,29.6,2012-01-24T07:13,2012-01-24T19:18,22.05,0.00,0.00,0.0,24.1,46.4,356,4.36
2012-01-25,53,30.1,24.1,26.5,34.7,26.5,29.6,2012-01-25T07:13,2012-01-25T19:19,15.74,0.80,0.80,2.0,22.0,40.3,356,3.68
2012-01-26,51,29.5,25.1,26.9,33.3,28.7,30.3,2012-01-26T07:13,2012-01-26T19:19,20.98,0.60,0.60,3.0,24.1,45.0,4,4.38
2012-01-27,53,29.2,24.2,26.3,32.9,27.3,30.0,2012-01-27T07:13,2012-01-27T19:19,17.76,1.30,1.30,4.0,20.4,41.8,1,3.69
2012-01-28,53,28.6,24.5,26.1,32.9,28.1,29.7,2012-01-28T07:14,2012-01-28T19:19,14.07,1.70,1.70,5.0,18.8,39.6,354,3.01
2012-01-29,53,29.7,24.5,26.6,35.9,27.8,31.2,2012-01-29T07:14,2012-01-29T19:19,17.42,2.20,2.20,7.0,14.4,30.6,350,3.67
2012-01-30,51,30.3,24.4,26.8,36.7,28.7,31.6,2012-01-30T07:14,2012-01-30T19:20,20.84,2.00,2.00,7.0,12.6,26.3,9,4.22
2012-01-31,63,29.3,24.9,26.7,35.8,29.5,31.5,2012-01-31T07:14,2012-01-31T19:20,18.50,5.20,5.20,6.0,14.5,28.1,19,3.69
2012-02-01,53,29.5,25.2,26.9,34.7,29.5,31.2,2012-02-01T07:14,2012-02-01T19:20,18.98,1.30,1.30,4.0,19.5,35.3,27,3.86
2012-02-02,61,27.8,24.1,25.9,34.2,28.4,30.7,2012-02-02T07:14,2012-02-02T19:20,16.13,6.00,6.00,19.0,13.7,23.0,31,3.15
2012-02-03,61,27.3,24.4,25.4,31.6,28.2,29.9,2012-02-03T07:14,2012-02-03T19:20,7.49,13.50,13.50,21.0,13.0,29.9,15,1.68
2012-02-04,53,28.3,24.8,26.2,31.8,28.5,30.3,2012-02-04T07:14,2012-02-04T19:20,13.22,3.80,3.80,15.0,19.9,33.8,32,2.74
2012-02-05,53,30.1,24.9,26.9,35.1,28.9,31.2,2012-02-05T07:14,2012-02-05T19:21,20.74,1.10,1.10,4.0,18.3,33.8,17,4.24
2012-02-06,51,29.3,24.1,26.5,34.3,28.1,30.8,2012-02-06T07:15,2012-02-06T19:21,19.95,1.10,1.10,6.0,18.5,32.8,15,3.89
2012-02-07,51,30.4,24.2,27.1,36.6,28.7,31.8,2012-02-07T07:15,2012-02-07T19:21,21.99,0.50,0.50,4.0,14.0,26.6,20,4.54
2012-02-08,1,30.8,24.1,26.7,36.8,28.5,31.3,2012-02-08T07:15,2012-02-08T19:21,24.41,0.00,0.00,0.0,14.7,28.1,12,4.88
2012-02-09,2,30.4,23.7,26.6,33.9,26.3,29.9,2012-02-09T07:15,2012-02-09T19:21,21.68,0.00,0.00,0.0,18.1,30.6,23,4.75
2012-02-10,53,29.6,24.3,26.7,33.9,28.3,30.8,2012-02-10T07:15,2012-02-10T19:21,15.84,1.90,1.90,7.0,19.0,37.8,35,3.38
2012-02-11,63,30.2,25.0,27.0,36.7,29.0,31.5,2012-02-11T07:15,2012-02-11T19:21,20.38,6.30,6.30,4.0,20.0,34.6,18,4.04
2012-02-12,61,29.6,25.0,26.8,35.8,28.7,31.1,2012-02-12T07:15,2012-02-12T19:21,17.36,8.80,8.80,14.0,19.7,32.4,15,3.55
