latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
1.4000015,104.100006,8.0,28800,Asia/Singapore,+08

time,relativehumidity_2m (%),direct_radiation (W/m²),windspeed_10m (km/h)
2012-01-01T00:00,94,0.0,5.4
2012-01-01T01:00,95,0.0,5.2
2012-01-01T02:00,95,0.0,5.4
2012-01-01T03:00,96,0.0,5.9
2012-01-01T04:00,94,0.0,5.1
2012-01-01T05:00,95,0.0,4.7
2012-01-01T06:00,96,0.0,7.6
2012-01-01T07:00,95,0.0,7.4
2012-01-01T08:00,94,21.0,7.3
2012-01-01T09:00,92,149.0,7.9
2012-01-01T10:00,79,329.0,7.7
2012-01-01T11:00,77,418.0,6.6
2012-01-01T12:00,79,536.0,7.2
2012-01-01T13:00,75,577.0,7.5
2012-01-01T14:00,71,606.0,6.0
2012-01-01T15:00,74,509.0,5.9
2012-01-01T16:00,77,426.0,8.1
2012-01-01T17:00,80,332.0,9.8
2012-01-01T18:00,85,162.0,9.7
2012-01-01T19:00,85,42.0,7.0
2012-01-01T20:00,86,0.0,7.4
2012-01-01T21:00,86,0.0,9.4
2012-01-01T22:00,90,0.0,10.0
2012-01-01T23:00,91,0.0,10.4
2012-01-02T00:00,91,0.0,10.6
2012-01-02T01:00,93,0.0,11.3
2012-01-02T02:00,93,0.0,12.1
2012-01-02T03:00,94,0.0,12.6
2012-01-02T04:00,95,0.0,12.8
2012-01-02T05:00,95,0.0,12.8
2012-01-02T06:00,96,0.0,12.3
2012-01-02T07:00,96,0.0,12.3
2012-01-02T08:00,95,20.0,13.3
2012-01-02T09:00,91,161.0,16.3
2012-01-02T10:00,82,293.0,16.6
2012-01-02T11:00,80,421.0,16.4
2012-01-02T12:00,80,533.0,16.0
2012-01-02T13:00,78,608.0,15.5
2012-01-02T14:00,80,508.0,15.1
2012-01-02T15:00,81,615.0,15.4
2012-01-02T16:00,83,445.0,16.0
2012-01-02T17:00,82,299.0,16.1
2012-01-02T18:00,86,189.0,12.0
2012-01-02T19:00,85,37.0,11.0
2012-01-02T20:00,86,0.0,12.1
2012-01-02T21:00,87,0.0,11.6
2012-01-02T22:00,90,0.0,11.3
2012-01-02T23:00,91,0.0,12.7
2012-01-03T00:00,91,0.0,13.2
2012-01-03T01:00,91,0.0,13.3
2012-01-03T02:00,93,0.0,13.3
2012-01-03T03:00,93,0.0,13.6
2012-01-03T04:00,95,0.0,14.0
2012-01-03T05:00,95,0.0,14.4
2012-01-03T06:00,94,0.0,13.4
2012-01-03T07:00,93,0.0,14.2
2012-01-03T08:00,92,16.0,14.8
2012-01-03T09:00,88,125.0,19.0
